,ds,y,trajet_trajet_personnel,luminosite_Nuit sans éclairage public ou non allumé,luminosite_Crépuscule ou aube,type_collision_Deux véhicules – par l’arrière,type_collision_Deux véhicules - frontale,nom_dep_Bas_Rhin,nom_dep_Val_d_Oise,nom_dep_Ain,nom_dep_Yonne,region_Provence_Aples_Côte_d_Azur,vitesse_maximale_autorisee_80,heure
181,2019-07-01,8.0,97.0,75.0,16.0,44.0,18.0,8.0,7.0,4.0,0.0,29.0,31.0,16.0
182,2019-07-02,10.0,146.0,41.0,41.0,66.0,30.0,8.0,7.0,3.0,5.0,41.0,36.0,13.0
183,2019-07-03,4.0,101.0,26.0,31.0,41.0,20.0,8.0,3.0,7.0,0.0,58.0,30.0,15.0
184,2019-07-04,9.0,162.0,40.0,27.0,37.0,22.0,0.0,4.0,0.0,0.0,35.0,59.0,14.0
185,2019-07-05,5.0,130.0,10.0,23.0,66.0,31.0,7.0,5.0,0.0,0.0,18.0,42.0,16.0
186,2019-07-06,10.0,208.0,26.0,17.0,63.0,41.0,8.0,8.0,2.0,2.0,28.0,59.0,14.0
187,2019-07-07,20.0,282.0,42.0,39.0,47.0,59.0,0.0,9.0,2.0,0.0,48.0,98.0,15.0
188,2019-07-08,11.0,149.0,21.0,14.0,37.0,30.0,7.0,5.0,2.0,0.0,36.0,67.0,14.5
189,2019-07-09,15.0,262.0,38.0,28.0,55.0,81.0,5.0,9.0,4.0,0.0,51.0,61.0,14.0
190,2019-07-10,9.0,127.0,13.0,26.0,56.0,31.0,5.0,0.0,0.0,0.0,42.0,40.0,14.0
191,2019-07-11,12.0,126.0,48.0,29.0,50.0,38.0,3.0,9.0,0.0,0.0,35.0,46.0,14.0
192,2019-07-12,10.0,204.0,101.0,12.0,58.0,38.0,7.0,6.0,4.0,2.0,35.0,53.0,16.0
193,2019-07-13,12.0,273.0,38.0,15.0,47.0,55.0,0.0,6.0,12.0,2.0,47.0,84.0,14.0
194,2019-07-14,12.0,239.0,38.0,37.0,77.0,41.0,5.0,6.0,11.0,3.0,33.0,92.0,13.0
195,2019-07-15,11.0,134.0,17.0,21.0,67.0,31.0,4.0,2.0,1.0,2.0,36.0,66.0,13.0
196,2019-07-16,9.0,171.0,17.0,11.0,67.0,60.0,8.0,3.0,0.0,8.0,42.0,53.0,15.0
197,2019-07-17,8.0,184.0,18.0,16.0,56.0,39.0,2.0,3.0,1.0,2.0,83.0,72.0,15.0
198,2019-07-18,12.0,131.0,17.0,11.0,39.0,48.0,5.0,3.0,7.0,0.0,30.0,55.0,13.0
199,2019-07-19,3.0,193.0,24.0,16.0,45.0,44.0,0.0,1.0,4.0,0.0,33.0,54.0,15.0
200,2019-07-20,15.0,282.0,52.0,18.0,56.0,67.0,9.0,4.0,5.0,4.0,39.0,97.0,14.0
201,2019-07-21,14.0,237.0,52.0,19.0,37.0,59.0,0.0,0.0,6.0,2.0,39.0,103.0,14.0
202,2019-07-22,12.0,98.0,11.0,11.0,47.0,24.0,2.0,0.0,3.0,0.0,44.0,45.0,15.0
203,2019-07-23,3.0,156.0,28.0,4.0,65.0,34.0,18.0,2.0,1.0,3.0,25.0,62.0,14.0
204,2019-07-24,8.0,173.0,23.0,17.0,62.0,43.0,2.0,4.0,3.0,0.0,39.0,84.0,15.0
205,2019-07-25,17.0,176.0,29.0,18.0,54.0,63.0,9.0,5.0,2.0,0.0,31.0,77.0,15.0
206,2019-07-26,12.0,175.0,32.0,9.0,61.0,47.0,7.0,1.0,8.0,1.0,45.0,93.0,14.5
207,2019-07-27,11.0,217.0,42.0,23.0,34.0,44.0,10.0,7.0,0.0,0.0,23.0,81.0,14.0
208,2019-07-28,10.0,157.0,21.0,22.0,24.0,22.0,0.0,1.0,0.0,0.0,28.0,63.0,15.0
209,2019-07-29,7.0,164.0,9.0,20.0,48.0,39.0,3.0,2.0,6.0,0.0,43.0,59.0,15.0
210,2019-07-30,9.0,139.0,25.0,22.0,67.0,49.0,2.0,8.0,4.0,0.0,44.0,61.0,15.0
211,2019-07-31,12.0,123.0,20.0,12.0,46.0,39.0,14.0,5.0,6.0,0.0,18.0,53.0,14.5
212,2019-08-01,10.0,107.0,45.0,34.0,44.0,20.0,3.0,3.0,0.0,3.0,39.0,44.0,13.0
213,2019-08-02,4.0,174.0,61.0,38.0,68.0,29.0,4.0,9.0,2.0,0.0,42.0,46.0,15.5
214,2019-08-03,12.0,118.0,34.0,18.0,37.0,28.0,4.0,10.0,4.0,0.0,50.0,36.0,14.0
215,2019-08-04,9.0,115.0,24.0,13.0,48.0,29.0,0.0,9.0,2.0,1.0,31.0,38.0,14.0
216,2019-08-05,7.0,176.0,34.0,16.0,19.0,42.0,3.0,14.0,2.0,4.0,6.0,51.0,14.0
217,2019-08-06,10.0,241.0,28.0,15.0,64.0,58.0,4.0,8.0,9.0,4.0,66.0,68.0,15.0
218,2019-08-07,11.0,125.0,16.0,16.0,69.0,42.0,1.0,6.0,3.0,2.0,9.0,48.0,13.0
